# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -3239 3 576 66306 45774991 3 ./nvidia/gp108/gr/gpccs_bl.bin
DUPTYPE_WITHIN_SAME_TREE -3239 3 576 66306 45773838 3 ./nvidia/tu116/gr/gpccs_bl.bin
DUPTYPE_FIRST_OCCURRENCE 3235 3 576 66306 45774232 3 ./nvidia/gp107/gr/fecs_bl.bin
DUPTYPE_WITHIN_SAME_TREE -3235 3 576 66306 45774985 3 ./nvidia/gp108/gr/fecs_bl.bin
DUPTYPE_FIRST_OCCURRENCE 3278 3 576 66306 45773784 3 ./nvidia/gv100/gr/fecs_bl.bin
DUPTYPE_WITHIN_SAME_TREE -3278 3 576 66306 45775021 3 ./nvidia/tu102/gr/fecs_bl.bin
DUPTYPE_WITHIN_SAME_TREE -3278 3 576 66306 45773833 3 ./nvidia/tu116/gr/fecs_bl.bin
DUPTYPE_FIRST_OCCURRENCE 2559 1 625 66306 45776582 3 ./wfx/brd4001a.pds
DUPTYPE_WITHIN_SAME_TREE -2559 1 625 66306 45776585 3 ./wfx/brd8023a.pds
DUPTYPE_FIRST_OCCURRENCE 2840 2 703 66306 45775359 3 ./qcom/qcm6490/adspua.jsn
DUPTYPE_WITHIN_SAME_TREE -2840 4 703 66306 45775282 3 ./qcom/sc8280xp/LENOVO/21BX/adspua.jsn
DUPTYPE_WITHIN_SAME_TREE -2840 2 703 66306 45775240 3 ./qcom/x1e80100/adspua.jsn
DUPTYPE_FIRST_OCCURRENCE 2835 2 713 66306 45775321 3 ./qcom/qcm2290/modemuw.jsn
DUPTYPE_WITHIN_SAME_TREE -2835 2 713 66306 45775223 3 ./qcom/sdm845/modemuw.jsn
DUPTYPE_WITHIN_SAME_TREE -2835 2 713 66306 45775268 3 ./qcom/qrb4210/modemuw.jsn
DUPTYPE_FIRST_OCCURRENCE 274 1 832 66306 45765246 3 ./adaptec/starfire_rx.bin
DUPTYPE_WITHIN_SAME_TREE -274 1 832 66306 45765245 3 ./adaptec/starfire_tx.bin
DUPTYPE_FIRST_OCCURRENCE 3064 3 1024 66306 45770392 3 ./ath6k/AR6003/hw1.0/bdata.SD31.bin
